,New model added on 08/08/2025,,,,,,RV Change 03/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RV update,,,,,"20,000 KM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VX-Code,Models name,Road Tax Jur,Raod Tax Ind.,MSRP,CC Engine,Models,12,24,36,48,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16798722-TH1,Mercedes-Maybach GLS 600 - TH2,22056,10828," 21,320,000.00 ",3982,Mercedes-Maybach GLS 600 - TH2,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22396862-THA,Mercedes-Maybach S 580 e Premium - THA,14192,6896," 11,300,000.00 ",2999,Mercedes-Maybach S 580 e Premium - THA,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22396862-TH1,Mercedes-Maybach S 580 e Premium -TH1,6896,14192," 10,200,000.01 ",2999,Mercedes-Maybach S 580 e Premium -TH1,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22396862-TH2,Mercedes-Maybach S 580 e Premium -TH2,6896,14192," 10,700,000.00 ",2999,Mercedes-Maybach S 580 e Premium -TH2,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22396862-TH3,Mercedes-Maybach S 580 e Premium -TH3,14192,6896," 11,200,000.00 ",2999,Mercedes-Maybach S 580 e Premium -TH3,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22397622-TH1,Mercedes-Maybach S 580 Premium -TH1,22207,10828," 18,700,000.01 ",3982,Mercedes-Maybach S 580 Premium -TH1,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22397622-TH1,Mercedes-Maybach S 580 4MATIC Premium - TH2,22056,10828," 18,900,000.00 ",3982,Mercedes-Maybach S 580 4MATIC Premium - TH2,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23298122-THA,Mercedes-Maybach SL 680 Monogram Series - THA,22056,10828," 22,000,000.00 ",3982,Mercedes-Maybach SL 680 Monogram Series - THA,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22313062-TH2,S 350 d AMG Premium -TH2,13600,6600," 7,190,000.00 ",2925,S 350 d AMG Premium -TH2,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22313062-TH1,S 350 d Exclusive -TH1,13600,6600," 7,050,000.00 ",2925,S 350 d Exclusive -TH1,62%,51%,45%,40%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22312062-TH1,S 350 d Exclusive -TH2,13600,6600," 7,300,000.00 ",2925,S 350 d Exclusive -TH2,62%,51%,45%,40%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22312062-TH1,S 350 d Exclusive -TH3,14112,6856," 7,300,000.00 ",2989,S 350 d Exclusive -TH3,62%,51%,45%,40%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22316862-TH1,S 580 e AMG Premium -TH1,14192,6896," 7,580,000.00 ",2999,S 580 e AMG Premium -TH1,59%,48%,42%,37%,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22316862-TH1,S 580 e AMG Premium -TH2,14207,6896," 7,190,000.00 ",2999,S 580 e AMG Premium -TH2,59%,48%,42%,37%,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90713323-TH3,Sprinter 319CDI Chassis CAB -TH3,5800,2700," 2,070,000.00 ",2540,Sprinter 319CDI Chassis CAB -TH3,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90764523-TH3,Sprinter 419CDI Business Long -TH3,5800,2700," 4,240,000.01 ",2540,Sprinter 419CDI Business Long -TH3,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90764323-TH4,Sprinter 419CDI Business -TH4,5800,2700," 3,980,000.00 ",2540,Sprinter 419CDI Business -TH4,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44781523-THA,V 300 d Exclusive - THA,5800,2700," 5,820,000.00 ",1950,V 300 d Exclusive - THA,69%,58%,52%,45%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44781523-TH1,V250d Exclusive -TH1,5800,2700," 5,400,000.01 ",1999,V250d Exclusive -TH1,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44770523-THA,Vito 119 CDI Tourer Pro - THA,5800,2700," 3,100,000.00 ",1950,Vito 119 CDI Tourer Pro - THA,74%,63%,57%,50%,44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
