Class,ModelName,RoadTaxJur,RoadTaxInd,MSRP,CC,RV12,RV24,RV36,RV48,RV60
S-Class,S 350 d Exclusive V223 (*)(*),13600,6600,7050000,2925,0.68,0.57,0.51,0.45,0.4
S-Class,S 350 d AMG Premium V223,13600,6600,7190000,2925,0.68,0.57,0.51,0.45,0.4
S-Class,S 580 e AMG Premium(*),14168,6884,7380000,2996,0.66,0.55,0.49,0.43,0.38
S-Class,S 580 e AMG Premium (*)(*),14192,6896,7580000,2999,0.66,0.55,0.49,0.43,0.38
G-Class,G 350 d Sport (*)(*),13600,6600,9390000,2925,N/A,N/A,N/A,N/A,N/A
G-Class,G 350 d Sport (*)(*)(*),13600,6600,9490000,2925,N/A,N/A,N/A,N/A,N/A
G-Class,G 350 d Sport (*)(*)(*) PG1,13600,6600,9790000,2925,N/A,N/A,N/A,N/A,N/A
G-Class,G 350 d Exclusive,13600,6600,10100000,2925,N/A,N/A,N/A,N/A,N/A
G-Class,G 350 d Exclusive SP1,13600,6600,11110000,2925,N/A,N/A,N/A,N/A,N/A
GLC-Class,GLC 220 d,5800,2700,3239000,1950,0.68,0.58,0.53,0.47,0.42
GLC-Class,GLC 220 d(*),5800,2700,3349000,1950,0.68,0.58,0.53,0.47,0.42
GLC-Class,GLC 220 d(*)(*),5800,2700,3390000,1950,0.68,0.58,0.53,0.47,0.42
GLC-Class,GLC 220 d AMG Dynamic,5800,2700,3699000,1950,0.68,0.58,0.53,0.47,0.42
GLC-Class,GLC 220 d AMG Dynamic(*),5800,2700,3769000,1950,0.68,0.58,0.53,0.47,0.42
GLC-Class,GLC 220 d AMG Dynamic(*)(*),5800,2700,3800000,1950,0.68,0.58,0.53,0.47,0.42
GLC-Class,GLC 220 d 4MATIC Coupe' AMG Dynamic(*)(*),5800,2700,4160000,1950,0.68,0.58,0.53,0.47,0.42
GLC-Class,GLC 220 d 4MATIC Coupe AMG Dynamic (*)(*)(*),5800,2700,4180000,1950,0.68,0.58,0.53,0.47,0.42
GLC-Class,GLC 300 e 4MATIC AMG Dynamic (*)(*),6128,2864,3779000,1991,0.66,0.56,0.51,0.45,0.4
GLC-Class,GLC 300 e 4MATIC AMG Dynamic (*)(*)(*),6128,2864,3830000,1991,0.66,0.56,0.51,0.45,0.4
GLC-Class,GLC 220 d 4MATIC Avantgarde,6144,2872,3720000,1993,0.74,0.63,0.57,0.5,0.44
GLC-Class,GLC 300 e 4MATIC Coupe AMG Dynamic (*)(*)(*),6128,2864,4180000,1991,0.66,0.56,0.51,0.45,0.4
GLC-Class,GLC 300 e 4MATIC Coupe AMG Dynamic (*)(*)(*)(*),6128,2864,4200000,1991,0.66,0.56,0.51,0.45,0.4
GLC-Class,GLC 350 e 4MATIC Coupe AMG Dynamic-TH1,6192,2896,4340000,1999,N/A,N/A,N/A,N/A,N/A
GLC-Class,GLC 350 e 4MATIC AMG Dynamic,6192,2896,4180000,1999,0.7,0.59,0.53,0.46,0.4
GLE-Class,GLE 300 d 4MATIC AMG Dynamic(*)(*)(*),5800,2700,5350000,1950,N/A,N/A,N/A,N/A,N/A
GLE-Class,GLE 300 d 4MATIC AMG Dynamic (*)(*)(*)(*),5800,2700,5430000,1950,N/A,N/A,N/A,N/A,N/A
GLE-Class,GLE 300 d 4MATIC AMG Dynamic SP,5800,2700,5290000,1950,N/A,N/A,N/A,N/A,N/A
GLE-Class,GLE 300 d 4MATIC AMG Dynamic (New),6144,2872,5590000,1993,0.71,0.6,0.55,0.49,0.44
GLE-Class,GLE 350 de 4MATIC Exclusive(*),5800,2700,4799000,1950,0.67,0.56,0.5,0.44,0.39
