Entity,Order,CustomerType,Financial Product Type Short Name,Segment,AssetValuationCurve,AssetState,RatingOrScoring,ScorecardIDName,ScorecardIDVersion,Frontend,RatingScoringClass,MBM Rating,Tier,PD,PD_MoC
THA-FS,194,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,1.7,,0.0028627235250693,0.0028648484349254
THA-FS,195,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,1.8,,0.0029928692966102,0.0029950905945328
THA-FS,196,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,1.9,,0.0031230150681511,0.0031253327541401
THA-FS,197,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,"2, 2.0",,0.0032531608396921,0.0032555749137474
THA-FS,198,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,2.1,,0.0035228305683348,0.0035254435608685
THA-FS,199,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,2.2,,0.0037925002969775,0.0037953122079896
THA-FS,200,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,2.3,,0.0040621700256203,0.0040651808551107
THA-FS,201,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,2.4,,0.004331839754263,0.0043350495022317
THA-FS,202,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,2.5,,0.0046015094829058,0.0046049181493528
THA-FS,203,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,2.6,,0.0048711792115485,0.0048747867964739
THA-FS,204,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,2.7,,0.0051408489401912,0.005144655443595
THA-FS,205,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,2.8,,0.005410518668834,0.0054145240907161
