Entity,Order,CustomerType,Segment,AssetValuationCurve,AssetState,RatingOrScoring,ScorecardIDName,ScorecardIDVersion,Frontend,RatingScoringClass,DFS Rating,Tier,Value
THA-FS,257,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,"8, 8.0",,0.08021614387789
THA-FS,258,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,8.1,,0.08021614387789
THA-FS,259,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,8.2,,0.08021614387789
THA-FS,260,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,8.3,,0.08021614387789
THA-FS,261,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,8.4,,0.08021614387789
THA-FS,262,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,8.5,,0.08021614387789
THA-FS,263,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,8.6,,0.08021614387789
THA-FS,264,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,8.7,,0.08021614387789
THA-FS,265,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,8.8,,0.08021614387789
THA-FS,266,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,8.9,,0.08021614387789
